timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759261223073,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-33,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223083,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-34,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223093,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-35,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223103,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-36,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223114,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-37,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261223123,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-38,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223133,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-39,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223144,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-40,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223153,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-41,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261223164,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-42,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261223173,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-43,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223184,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-44,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223193,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-45,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223203,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-46,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223214,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-47,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261223222,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-48,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223233,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-49,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223243,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-50,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223255,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-51,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261223264,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-52,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223273,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-53,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223284,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-54,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261223294,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-55,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
